,Price,Title,Visitors,Beds,Bedrooms,Baths,Guest Favorite,Superhost,Review Index,Number of reviews,Host Name,Characteristics,Latitude,Longitude
34,€ 43 ,Modern apartment.,4 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,5.0,38,Hosted by Κωνσταντίνος,"Fast wifi, Κωνσταντίνος is a Superhost, Free cancellation before April 1",40.61469,22.98336
35,€ 27 ,Convenience Spot @ Dragoumi,3 guests · ,, · 1 bedroom · , · 1 bath,,,New,2 reviews,Hosted by Viveta,"Self check-in, Furry friends welcome",40.64075,22.94357
36,€ 35 ,Escape ... in style // Downtown Seaside Gate_306,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,Superhost · ,4.84,353 reviews,Hosted by Mike,"Great for remote work, Self check-in, Free cancellation for 48 hours",40.6318,22.9417
37,€ 45 ,"Ultima #2, Nilie Hospitality MGMT",3 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,,,2 reviews,Hosted by Nilie Premium Hospitality MGMT,"Self check-in, Experienced host",40.6383849,22.9400138
38,€ 32 ,Spotted in Thessaloniki #10!-parking 15€/24h,2 guests · , · 1 bed · ,, · 1 bath,"Guest
favorite",Superhost · ,4.94,16,Hosted by Giannis,"Self check-in, Giannis is a Superhost, Free cancellation before 2:00 PM on March 27",40.6374,22.9357
39,€ 25 ,Double room with 2 single beds,, · 2 single beds · ,2 bedrooms · , · Shared bathroom,"Guest
favorite",Superhost · ,4.96,57,Stay with Maria Eleni,"Room in a condo, Shared common spaces, Shared bathroom, Free cancellation before 2:00 PM on March 27",40.6229,22.96706
40,€ 48 ,SKG Stories: Relax,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,4.97,491,Hosted by Eleni,"Great for remote work, Self check-in, Free cancellation for 48 hours",40.6337,22.9473
41,€ 49 ,"Adelle Studio #34, The Luxury Suites",3 guests · , · 2 beds · ,, · 1 bath,,,4.56,41 reviews,Hosted by The Luxury Suites,"Self check-in, Great communication, Free cancellation before 2:00 PM on March 27",40.63965,22.93941
42,€ 33 ,Waterfront #9Design - CozyCityCenter Studio,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,Superhost · ,4.64,651 reviews,Hosted by Alexandra,"Dedicated workspace, Self check-in, Free cancellation before March 30",40.6318,22.9417
43,€ 51 ,#ATS - Theodor Cozy Apartment,4 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,,4.94,32 reviews,Hosted by Around,"Self check-in, Great location, Free cancellation before March 28",40.6328258,22.9439552
44,€ 38 ,Majestic balcony studio overlooking city's heart,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,,4.72,184 reviews,Hosted by Vasilis,"Self check-in, Highly rated Host, Free cancellation before May 7",40.63499,22.9368
45,€ 28 ,Penthouse Kamara 47,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,Superhost · ,New,2 reviews,Hosted by George,"Fast wifi, Self check-in, Free cancellation for 48 hours",40.6326666,22.9511606
46,€ 44 ,"Pantheon, Nilie Hospitality MGMT",4 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,,4.78,9 reviews,Hosted by Nilie Premium Hospitality MGMT,"Self check-in, Experienced host",40.6341411,22.9371348
47,€ 34 ,Modern studio in the heart of the city,3 guests · , · 2 beds · , · 1 bedroom · , · 1.5 baths,"Guest
favorite",Superhost · ,4.90,392,Hosted by Μαρία,"Dedicated workspace, Μαρία is a Superhost, Free cancellation before July 31",40.63214,22.94413
48,€ 30 ,HYPNOS SKG 101(hotel style self-contained room),2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,Superhost · ,4.76,152 reviews,Hosted by Stylianos,"Self check-in, Stylianos is a Superhost, Great check-in experience",40.64178,22.93777
49,€ 36 ,LuxLiving Stratou Avenue Cozy,2 guests · , · 1 bed · ,, · 1 bath,,Superhost · ,4.81,27 reviews,Hosted by Alexandros,"Self check-in, Alexandros is a Superhost, Free cancellation before 2:00 PM on March 27",40.6186,22.9581
50,€ 38 ,DoorMat#4 White Tower,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,,4.75,135 reviews,Hosted by Mario,"Dedicated workspace, Self check-in, Free cancellation before May 26",40.62839,22.94843
51,€ 35 ,Studio in the center of Kalamaria,4 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,,4.83,12 reviews,Hosted by Αφροδίτη,"Self check-in, Great location, Free cancellation before 2:00 PM on March 27",40.5837,22.9514
52,€ 40 ,Private Mini Suite-Self Check-in,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,,,2 reviews,Hosted by Nikos,"Self check-in, Free cancellation before April 6",40.6371,22.9368
53,€ 32 ,Budget and family-friendly apartment | 200Mbps.,4 guests · ,, · 1 bedroom · , · 1 bath,,Superhost · ,5.0,3 reviews,Hosted by Dimitrios,"Great for remote work, Self check-in, Dimitrios is a Superhost",40.6436,22.946
54,€ 23 ,14 Smart tv central cozy room,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,,4.63,112 reviews,Hosted by Βασίλης,"Self check-in, Great location, Free cancellation before April 10",40.60963,22.95493
55,€ 49 ,Harmony studio with terrace.,3 guests · ,, · 1 bedroom · , · 1 bath,,Superhost · ,5.0,4 reviews,Hosted by Nikolaos,"Self check-in, Nikolaos is a Superhost, Great location",40.631166,22.9442399
56,€ 30 ,Tiny Loft Studio 17m² in the heart of Thessaloniki,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,,4.49,202 reviews,Hosted by Dimitrios,"Self check-in, Great location, Free cancellation before 2:00 PM on March 27",40.63396,22.94563
57,€ 37 ,midtown arc studio,3 guests · , · 2 beds · ,, · 1 bath,"Guest
favorite",Superhost · ,4.91,217,Hosted by Stelios,"Stelios is a Superhost, Great location, Free cancellation before 2:00 PM on March 27",40.6342,22.9458
58,€ 43 ,Waterfront #25Design - CozyCityCenter Flat,4 guests · , · 1 bed · , · 1 bedroom · , · 1.5 baths,"Guest
favorite",Superhost · ,4.88,526,Hosted by Alexandra,"Dedicated workspace, Self check-in, Free cancellation before April 3",40.6318,22.9417
59,€ 43 ,"WallStreet #22, The Luxury Suites",3 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,,,4.58,40 reviews,Hosted by The Luxury Suites,"Self check-in, Great communication, Free cancellation before 2:00 PM on March 27",40.64121,22.93725
60,€ 42 ,"Big Apple #2.6, Nilie Hospitality MGMT",3 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,,4.27,15 reviews,Hosted by Nilie Premium Hospitality MGMT,Self check-in,40.64028,22.93825
61,€ 40 ,Dialeti Loft Apartment,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,Superhost · ,4.58,19 reviews,Hosted by Fani,"Self check-in, Fani is a Superhost, Free cancellation before April 21",40.6291474,22.9514332
62,€ 38 ,Escape ... in style // Downtown Seaside Gate_303,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,Superhost · ,4.74,269 reviews,Hosted by Mike,"Fast wifi, Self check-in, Free cancellation for 48 hours",40.6318,22.9417
63,€ 32 ,Waterfront #8Design - Bubblegum Box,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,Superhost · ,4.73,739 reviews,Hosted by Alexandra,"Self check-in, Alexandra is a Superhost, Free cancellation for 48 hours",40.6318,22.9417
64,€ 21 ,Sweet Little House,2 guests · , · 1 bed · , · 1 bedroom · , · 1.5 baths,,Superhost · ,4.94,123 reviews,Hosted by Theodoros,"Fast wifi, Self check-in, Theodoros is a Superhost",40.66211,22.91335
65,€ 61 ,ANGEL(404)JACUZZISUITE AMA685900,4 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,Superhost · ,4.83,252 reviews,Hosted by Leonidas,"Self check-in, Leonidas is a Superhost, Free cancellation before April 9",40.63991,22.93959
66,€ 34 ,Natural modern studio in the heart of Thessaloniki,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,Superhost · ,5.0,4 reviews,Hosted by Innovation,"Self check-in, Innovation is a Superhost, Free cancellation before April 3",40.6471133,22.9240689
67,€ 31 ,Villanova - Sapphire Suite,4 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,5.0,7,Hosted by Polina,"Self check-in, Polina is a Superhost, Free cancellation before March 31",40.642923,22.9334532
68,€ 65 ,A glam chic apartment in the ♥️ of the city,3 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,5.0,79,Hosted by Korinna,"Self check-in, Korinna is a Superhost, Great location",40.63067,22.94315
69,€ 23 ,#2 City center Ariadni's studio- Huge balcony,2 guests · , · 2 beds · ,, · 1 bath,"Guest
favorite",Superhost · ,4.82,205,Hosted by Ariadni,"Ariadni is a Superhost, Great check-in experience, Free cancellation for 48 hours",40.62041,22.95341
70,€ 31 ,White Diamond,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,,4.70,10 reviews,Hosted by Zoe,"Self check-in, Great check-in experience",40.6417,22.944
71,€ 42 ,Sea view Aristotelous square,3 guests · , · 2 beds · ,, · 1.5 baths,"Guest
favorite",Superhost · ,4.90,21,Hosted by Ermis,"Self check-in, Ermis is a Superhost, Free cancellation for 48 hours",40.63211,22.9393
72,€ 74 ,Innovative Boutique flat in the heart of the city,4 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,4.93,139,Hosted by Innovation,"Self check-in, Innovation is a Superhost, Free cancellation for 48 hours",40.63031,22.94555
73,€ 67 ,Aristotelous Square Luxury Studio,4 guests · , · 3 beds · ,, · 1 bath,"Guest
favorite",Superhost · ,4.90,260,Hosted by Vaia,"Self check-in, Vaia is a Superhost, Free cancellation before April 11",40.63591,22.94492
74,€ 98 ,Central Luxury apartment + view,4 guests · , · 2 beds · , · 2 bedrooms · , · 1 bath,,Superhost · ,New,Show moreShow more. Open host profile.,Hosted by Apostolos,"Self check-in, Apostolos is a Superhost, Free cancellation before April 3",40.6411,22.9308
75,€ 50 ,Big Luxury apartment in Thessaloniki,4 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,4.91,81,Hosted by My Street,"Self check-in, My Street is a Superhost, Great check-in experience",40.6382,22.93754
76,€ 39 ,Futuristic chic oasis in the heart of the city,4 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,,Superhost · ,New,1 review,Hosted by Innovation,"Self check-in, Innovation is a Superhost, Free cancellation before April 2",40.6469,22.9234
77,€ 85 ,Couple-in magical suite with jacuzzi,2 guests · , · 1 bed · , · 1 bedroom · , · 1.5 baths,"Guest
favorite",,4.90,10,Hosted by ענבר,"Self check-in, Great location, Great check-in experience",40.6333867,22.942357
78,€ 84 ,Heaven on the 7th (Aparment B),5 guests · , · 2 beds · , · 2 bedrooms · , · 1 bath,,,5.0,4 reviews,Hosted by Panos,"Self check-in, Great location, Free cancellation for 48 hours",40.6218726,22.9530707
79,€ 55 ,Urban Loft I,5 guests · , · 3 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,4.95,205,Hosted by Eva,"Dedicated workspace, Self check-in, Free cancellation for 48 hours",40.63693,22.9555
80,€ 45 ,TerraCity Apartment,4 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,4.96,28,Hosted by Alexandra-Markos,"Self check-in, Alexandra-Markos is a Superhost, Free cancellation before April 23",40.6344095,22.9528624
81,€ 71 ,Marrone S.Suite°   (free parking 24/7),4 guests · , · 3 beds · , · 2 bedrooms · , · 1 bath,"Guest
favorite",Superhost · ,4.96,47,Hosted by Panagiota,"Great for remote work, Self check-in, Free cancellation before April 10",40.6168,22.9538
82,€ 62 ,Bright Bright C -Modern apartment with terrace,4 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,4.94,83,Hosted by Ioannis,"Self check-in, Ioannis is a Superhost, Free cancellation before May 15",40.6365,22.9376
83,€ 86 ,"City Center, Sea view, Big private terrace",3 guests · , · 2 beds · , · 1 bedroom · , · 1.5 baths,,,4.83,265 reviews,Hosted by Marabou Unique Stay,"Fast wifi, Self check-in, Free cancellation before April 16",40.63778,22.9356
84,€ 51 ,Sunny 5th floor flat with big balcony,4 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,4.88,98,Hosted by My Street,"Dedicated workspace, Self check-in, My Street is a Superhost",40.6379,22.93827
85,€ 42 ,Contemporary Gem in the Heart of Thessaloniki,4 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,,Superhost · ,New,1 review,Hosted by Innovation,"Self check-in, Innovation is a Superhost, Free cancellation before April 8",40.6469,22.9234
86,€ 53 ,✦World Heritage Site✦ Ace Location|Walk Everywhere,3 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,4.96,100,Hosted by Panagiota,"Self check-in, Panagiota is a Superhost, Furry friends welcome",40.63764,22.94817
87,€ 130 ,"NEW 2019!, SKG, view to the port-marine Kalamaria!",4 guests · , · 1 bed · , · 1 bedroom · , · 1.5 baths,"Guest
favorite",Superhost · ,4.98,64,Hosted by Konstantinos,"Self check-in, Konstantinos is a Superhost, Great location",40.57645,22.94553
88,€ 83 ,"Divine 7thfloor apartment  'neo', city view",4 guests · , · 2 beds · , · 2 bedrooms · , · 2 baths,"Guest
favorite",,4.94,17,Hosted by Thanasis,"Great check-in experience, Highly rated Host, Free cancellation before March 31",40.6067,22.9548
89,€ 87 ,F & B Collection - City Center Hidden Gem,3 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",,5.0,6,Hosted by Dimitris,"Great location, Experienced host, Highly rated Host",40.6311,22.947
90,€ 106 ,#Oddity: Superior apartment by halu!,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,,4.42,12 reviews,Hosted by Halu!,"Dedicated workspace, Self check-in, Free cancellation before April 12",40.63536,22.93527
91,€ 85 ,Couple-in magical suite with jacuzzi,2 guests · , · 1 bed · , · 1 bedroom · , · 1.5 baths,"Guest
favorite",,4.90,10,Hosted by ענבר,"Self check-in, Great location, Great check-in experience",40.6333867,22.942357
92,€ 130 ,"NEW 2019!, SKG, view to the port-marine Kalamaria!",4 guests · , · 1 bed · , · 1 bedroom · , · 1.5 baths,"Guest
favorite",Superhost · ,4.98,64,Hosted by Konstantinos,"Self check-in, Konstantinos is a Superhost, Great location",40.57645,22.94553
93,€ 127 ,"Okto Penthouse, Nilie Hospitality MGMT",4 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,,4.95,19 reviews,Hosted by Nilie Premium Hospitality MGMT,"Self check-in, Great location, Free cancellation before March 31",40.63581,22.93998
94,€ 85 ,Elegant apartment inThessaloniki near sea & center,4 guests · , · 2 beds · , · 2 bedrooms · , · 1 bath,"Guest
favorite",Superhost · ,5.0,54,Hosted by Στέλλα,"Dedicated workspace, Self check-in, Στέλλα is a Superhost",40.6105,22.9562
95,€ 104 ,#Toucan by halu! apartments,4 guests · , · 2 beds · , · 2 bedrooms · , · 1.5 baths,,,4.86,21 reviews,Hosted by Halu!,"Great for remote work, Self check-in, Free cancellation before April 1",40.635234,22.948369
96,€ 87 ,F & B Collection - City Center Hidden Gem,3 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",,5.0,6,Hosted by Dimitris,"Great location, Experienced host, Highly rated Host",40.6311,22.947
97,€ 90 ,Old Town View Apartment,4 guests · , · 2 beds · , · 2 bedrooms · , · 1 bath,"Guest
favorite",,4.97,31,Hosted by Ηρώ,"Great for remote work, Self check-in, Great check-in experience",40.63952,22.95855
98,€ 105 ,Alegra#1_The historic center_,4 guests · , · 2 beds · , · 2 bedrooms · , · 1.5 baths,"Guest
favorite",Superhost · ,4.97,124,Hosted by Maximos,"Self check-in, Maximos is a Superhost, Free cancellation for 48 hours",40.6369,22.9412
99,€ 240 ,The Lux2 a gorgeous 3 bd apt | Close to everything,6 guests · , · 3 beds · , · 3 bedrooms · , · 2.5 baths,"Guest
favorite",Superhost · ,4.87,77,Hosted by Stef & George,"Fast wifi, Self check-in, Free cancellation for 48 hours",40.63017,22.94477
100,€ 119 ,Urban folks apartment,6 guests · , · 3 beds · , · 2 bedrooms · , · 1 bath,"Guest
favorite",,5.0,9,Hosted by Nikos,"Self check-in, Great location, Free cancellation before April 21",40.6324,22.9479
101,€ 53 ,✦World Heritage Site✦ Ace Location|Walk Everywhere,3 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,4.96,100,Hosted by Panagiota,"Self check-in, Panagiota is a Superhost, Furry friends welcome",40.63764,22.94817
102,€ 53 ,Seaside Heights: Awe-Inspiring City Views!,3 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,5.0,33,Hosted by Yanis,"Dedicated workspace, Yanis is a Superhost, Free cancellation before June 13",40.6398,22.9478
103,€ 65 ,Incognito #Skgbnb,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,5.0,14,Hosted by Tomas&Cristina! Skgbnb,"Tomas&Cristina! Skgbnb is a Superhost, Great check-in experience",40.6333,22.9542
104,€ 79 ,Project Leni 239,4 guests · , · 2 beds · , · 2 bedrooms · , · 1 bath,"Guest
favorite",Superhost · ,4.98,42,Hosted by Alexandros,"Dedicated workspace, Self check-in, Alexandros is a Superhost",40.6385,22.944
105,€ 67 ,Aristotelous Square Luxury Studio,4 guests · , · 3 beds · ,, · 1 bath,"Guest
favorite",Superhost · ,4.90,260,Hosted by Vaia,"Self check-in, Vaia is a Superhost, Free cancellation before April 11",40.63591,22.94492
106,€ 120 ,Luxmini 2bd apt near the sea,4 guests · , · 2 beds · , · 2 bedrooms · , · 1 bath,"Guest
favorite",Superhost · ,4.94,32,Hosted by Stef & George,"Self check-in, Stef & George is a Superhost, Great location",40.6286,22.9467
107,€ 55 ,Urban Loft I,5 guests · , · 3 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,4.95,205,Hosted by Eva,"Dedicated workspace, Self check-in, Free cancellation for 48 hours",40.63693,22.9555
108,€ 98 ,Central Luxury apartment + view,4 guests · , · 2 beds · , · 2 bedrooms · , · 1 bath,,Superhost · ,New,Show moreShow more. Open host profile.,Hosted by Apostolos,"Self check-in, Apostolos is a Superhost, Free cancellation before April 3",40.6411,22.9308
109,€ 80 ,Euphoria,4 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,4.95,64,Hosted by Ιωαννης,"Self check-in, Ιωαννης is a Superhost, Free cancellation before May 14",40.6287,22.9478
110,€ 37 ,"V18 Boutique Rooms, Nilie Hospitality MGMT",2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,,,1 review,Hosted by Nilie Premium Hospitality MGMT,"Self check-in, Experienced host",40.6431641,22.9341033
111,€ 85 ,Couple-in magical suite with jacuzzi,2 guests · , · 1 bed · , · 1 bedroom · , · 1.5 baths,"Guest
favorite",,4.90,10,Hosted by ענבר,"Self check-in, Great location, Great check-in experience",40.6333867,22.942357
